OptionName,Cluster
اختيارخ شتاب-5500-1403/11/17,4
اختيارخ شتاب-6500-1403/11/17,4
اختيارخ شتاب-9000-1403/11/17,4
اختيارخ شتاب-11000-1403/11/17,4
اختيارخ شتاب-10000-1403/12/15,4
اختيارخ شستا-1350-1403/11/10,0
اختيارخ شستا-1450-1403/11/10,0
اختيارخ شستا-1550-1403/11/10,0
اختيارخ شستا-1650-1403/11/10,0
اختيارخ خساپا-2400-1403/12/22,0
اختيارخ شستا-550-1403/10/12,0
اختيارخ شستا-650-1403/10/12,0
اختيارخ شستا-1350-1403/10/12,0
اختيارخ شستا-1450-1403/10/12,0
اختيارخ شستا-1550-1403/10/12,0
اختيارخ شستا-850-1403/12/08,0
اختيارخ شستا-1250-1403/12/08,0
اختيارخ شستا-700-1404/01/20,0
اختيارخ شستا-1700-1404/02/10,0
اختيارخ ذوب-300-1403/11/24,0
اختيارخ ذوب-600-1403/11/24,0
اختيارخ اهرم-18000-1403/09/28,4
اختيارخ اهرم-20000-1403/09/28,4
اختيارخ اهرم-18000-1403/11/24,3
اختيارخ اهرم-20000-1403/11/24,3
اختيارخ اهرم-28000-1404/01/27,2
اختيارخ بيدار-8000-1403/10/19,4
اختيارخ وبملت-3000-1403/09/28,0
اختيارخ وبصادر-1200-1403/09/21,0
اختيارخ وبصادر-1200-1403/11/17,0
اختيارخ وبصادر-1600-1403/11/17,0
اختيارخ فولاد-5500-1403/12/01,0
اختيارخ خودرو-2400-1403/10/05,0
اختيارخ خودرو-1900-1403/11/03,0
اختيارخ خودرو-2000-1403/11/03,0
اختيارخ خودرو-2200-1403/12/01,0
اختيارخ خودرو-2600-1403/12/01,0
اختيارخ خودران-9000-03/09/21,0
اختيارخ خودران-6500-03/11/28,4
اختيارخ خودران-7500-03/11/28,4
اختيارخ شپنا-4000-1403/10/12,0
اختيارخ سرو-14000-1403/10/19,4
اختيارخ شتاب-7000-1403/12/15,4
اختيارخ خساپا-1800-1403/09/21,0
اختيارخ خساپا-2000-1403/09/21,0
اختيارخ خساپا-2800-1403/09/21,0
اختيارخ خساپا-2600-1403/12/22,0
اختيارخ شستا-750-1403/11/10,0
اختيارخ شستا-850-1403/11/10,0
اختيارخ شستا-1500-1404/01/20,0
اختيارخ شستا-1600-1404/01/20,0
اختيارخ ذوب-400-1403/09/28,0
اختيارخ اهرم-15000-1403/10/26,4
اختيارخ اهرم-24000-1403/10/26,4
اختيارخ اهرم-26000-1403/11/24,4
اختيارخ اهرم-15000-1403/12/22,3
اختيارخ اهرم-24000-1403/12/22,3
اختيارخ ارزش-15000-1403/09/25,0
اختيارخ خبهمن-1300-1403/09/25,0
اختيارخ خبهمن-1600-1403/11/28,0
اختيارخ بيدار-6500-1403/10/19,0
اختيارخ وبصادر-2000-1403/09/21,0
اختيارخ وبصادر-2000-1403/11/17,0
اختيارخ وتجارت-1400-1403/10/19,0
اختيارخ وتجارت-1700-1403/10/19,0
اختيارخ وتجارت-1800-1403/10/19,0
اختيارخ وتجارت-1700-1403/12/15,0
اختيارخ وتجارت-1800-1403/12/15,0
اختيارخ فولاد-2800-1403/09/21,0
اختيارخ فولاد-3250-1403/09/21,0
اختيارخ فولاد-4000-1403/12/01,0
اختيارخ فولاد-6000-1403/12/01,0
اختيارخ خودرو-3500-1403/10/05,0
اختيارخ خودرو-3750-1403/11/03,0
اختيارخ خودرو-2800-1403/12/01,0
اختيارخ خودرو-3000-1403/12/01,0
اختيارخ خودرو-3250-1403/12/01,0
اختيارخ خودرو-2000-1404/02/03,0
اختيارخ جهش-8000-1403/10/12,0
اختيارخ جهش-9000-1403/10/12,4
اختيارخ شتاب-7500-1403/10/12,0
اختيارخ شتاب-7500-1403/11/17,4
اختيارخ شتاب-8000-1403/12/15,4
اختيارخ خساپا-2600-1403/09/21,0
اختيارخ خساپا-2200-1403/10/26,0
اختيارخ خساپا-3250-1403/10/26,0
اختيارخ خساپا-2800-1403/12/22,0
اختيارخ شستا-1050-1403/11/10,0
اختيارخ شستا-1150-1403/11/10,0
اختيارخ شستا-950-1403/12/08,0
اختيارخ شستا-1200-1404/02/10,0
اختيارخ ذوب-200-1403/09/28,0
اختيارخ ذوب-500-1403/09/28,0
اختيارخ خاور-1100-14031009,0
اختيارخ خاور-1400-14031009,0
اختيارخ هم وزن-17000-14031205,4
